13dx,13dy,13dz
1.7789815624947e-05,-1.1091757951498e-05,-4.8105424327594e-06
1.834056051031e-05,-1.1161805051729e-05,-4.841035558048e-06
1.890086258638e-05,-1.1224076265859e-05,-4.8681613514789e-06
1.9470659814336e-05,-1.1278262567471e-05,-4.8917843967766e-06
2.0049881005568e-05,-1.1324059433049e-05,-4.9117712225821e-06
2.0638441829424e-05,-1.13611672789e-05,-4.9279908021227e-06
2.1236241582234e-05,-1.1389290834107e-05,-4.9403145223059e-06
2.1843161324475e-05,-1.1408137645608e-05,-4.9486156549206e-06
2.2459063675151e-05,-1.1417416049708e-05,-4.9527684526096e-06
2.3083794204348e-05,-1.1416833042566e-05,-4.9526470677907e-06
2.3717184047034e-05,-1.1406092504995e-05,-4.948124532056e-06
2.435905317999e-05,-1.1384894084532e-05,-4.9390719839004e-06
2.500921372306e-05,-1.1352932949182e-05,-4.9253582972975e-06
2.5667472694169e-05,-1.1309900438183e-05,-4.9068501714045e-06
2.6333633803999e-05,-1.1255485496409e-05,-4.8834126641917e-06
2.7007498091591e-05,-1.118937666289e-05,-4.8549100782058e-06
2.7688863400877e-05,-1.11112643294e-05,-4.8212070627995e-06
2.8377522879985e-05,-1.1020842980103e-05,-4.7821697805595e-06
2.9073262783452e-05,-1.0917813158651e-05,-4.7376669906063e-06
2.9775859913483e-05,-1.0801882959433e-05,-4.6875709245053e-06
3.0485079043241e-05,-1.0672768909759e-05,-4.6317578602517e-06
3.1200670638443e-05,-1.0530196164371e-05,-4.5701083336291e-06
3.192236916072e-05,-1.0373898001625e-05,-4.5025069611015e-06
3.2649892187653e-05,-1.0203614666415e-05,-4.428841885451e-06
3.3382940515914e-05,-1.0019091695512e-05,-4.3490039036698e-06
3.4121199338988e-05,-9.8200779341528e-06,-4.2628853871851e-06
3.4864340394458e-05,-9.6063235732746e-06,-4.1703791692771e-06
3.5612024920084e-05,-9.3775785866557e-06,-4.0713776113255e-06
3.63639069072e-05,-9.1335920040514e-06,-3.965772096548e-06
3.7119636053684e-05,-8.8741123431824e-06,-3.8534531408008e-06
3.7878859812546e-05,-8.5988893100408e-06,-3.7343111999877e-06
3.864122401509e-05,-8.3076765704515e-06,-3.6082380808766e-06
3.940637191413e-05,-8.0002350784092e-06,-3.4751286854262e-06
4.0173941907806e-05,-7.6763362816257e-06,-3.3348827183088e-06
4.0943564520557e-05,-7.3357645624661e-06,-3.1874060013592e-06
4.1714859347008e-05,-6.9783184847294e-06,-3.0326111494228e-06
4.248743261015e-05,-6.6038107097155e-06,-2.8704175258909e-06
4.3260875774331e-05,-6.2120667418952e-06,-2.7007505575272e-06
4.4034765381396e-05,-5.8029228624523e-06,-2.5235406055923e-06
4.4808664020568e-05,-5.3762236998933e-06,-2.3387216390724e-06
4.5582122221499e-05,-4.9318199014659e-06,-2.1462299654718e-06
4.6354680914518e-05,-4.4695663040661e-06,-1.9460032404384e-06
4.7125874030773e-05,-3.9893208615416e-06,-1.7379798937789e-06
4.7895230938733e-05,-3.490944497142e-06,-1.5220990619014e-06
4.8662278394729e-05,-2.9743018646888e-06,-1.2983010110323e-06
4.9426541828379e-05,-2.4392629051073e-06,-1.0665279819855e-06
